##For information about the Annotation file content, please see the bundled README file.
#%create_date=2009-03-02 PST 12:00:00
#%chip_type=HG-U133_Plus_2
#%genome-species=Homo sapiens
#%genome-version=NCBI Build 36.1
#%genome-version-ucsc=hg18
#%genome-version-ncbi=NCBI Build 36.1
#%genome-version-create_date=March 2006
#%netaffx-annotation-date=2009-03-16
#%netaffx-annotation-netaffx-build=28
#%netaffx-annotation-tabular-data-version=1.0
#%netaffx-annotation-tabular-format-version=1.0
Probe Set ID	Gene Symbol	Entrez Gene
1552875_a_at	CD200R1	131450
1552876_at	C21orf89	114042
1552877_s_at	C21orf89	114042
1552878_at	ATOH7	220202
1552879_a_at	ATOH7	220202
1552880_at	SEC16B	89866
1552882_a_at	FAM123B	139285
1552884_at	NKX6-3	157848
1552885_a_at	NKX6-3	157848
1552887_at	C10orf27	219793
1552889_a_at	EXOC3L2	90332
1552890_a_at	CABP4	57010
1552892_at	TNFRSF13C	115650
1552893_at	CAMK2N2	94032
1552895_a_at	C21orf99	149992
1552897_a_at	KCNG3	170850
1552898_a_at	KCNG3	170850
1552899_at	RP4-662A9.2	154089
1552900_a_at	RP4-662A9.2	154089
1552902_a_at	FOXP2	93986
1552903_at	B4GALNT2	124872
1552904_at	NETO1	81832
1552906_at	FMR1NB	158521
1552908_at	C1orf150	148823
1552910_at	SIGLEC11	114132
1552911_at	SIGLEC11	114132
1552912_a_at	IL23R	149233
1552913_at	MAGEB18	286514
1552914_a_at	CD276	80381
1552915_at	IL28A	282616
1552917_at	IL29	282618
1552919_at	C4orf36	132989
1552921_a_at	FIGNL1	63979
1552922_at	RIMS1	22999
1552923_a_at	PITPNM2	57605
1552924_a_at	PITPNM2	57605
1552925_at	PCDH10	57575
1552927_at	MAP3K7IP3	257397
1552928_s_at	MAP3K7IP3	257397
1552929_at	GRK7	131890
1552930_at	MMEL1	79258
1552931_a_at	PDE8A	5151
1552932_at	NLRP6	171389
1552933_at	C1orf62	254268
1552935_at	ZCCHC5	203430
1552937_s_at	ATRIP /// TREX1	11277 /// 84126
1552938_at	ZIC5	85416
1552939_at	ANGPT1	284
1552940_at	TEDDM1	127670
1552942_at	FLJ30430	149373
1552943_at	GABRG1	2565
1552944_a_at	PANX2	56666
1552946_at	ZNF114	163071
1552947_x_at	ZNF114	163071
1552948_at	CCDC27	148870
1552950_at	C15orf26	161502
1552952_at	RBMY2FP	159162
1552953_a_at	NEUROD2	4761
1552954_at	C5orf17	439936
1552955_at	---	---
1552957_at	LOC200383	200383
1552960_at	LRRC15	131578
1552961_at	---	---
1552964_at	C10orf93	255352
1552965_a_at	B3GNT7	93010
1552967_at	ZNF645	158506
1552969_a_at	ZMYM6	9204
1552970_s_at	ZMYM6	9204
1552971_at	SGCZ	137868
1552972_at	---	---
1552973_at	WNT9B	7484
1552974_at	---	---
1552975_x_at	---	---
1552976_at	---	---
1552977_a_at	CNPY3	10695
1552978_a_at	SCAMP1	9522
1552979_at	C2orf52	151477
1552980_at	HAS3	3038
1552982_a_at	FGF4	2249
1552985_at	SLC30A8	169026
1552986_at	LOC142937	142937
1552987_a_at	MGC42157	439933
1552988_at	C11orf65	160140
1552990_at	FAM71E2 /// LOC100133695	100133695 /// 284418
1552991_at	OR5P2	120065
1552993_at	DYDC1	143241
1552995_at	IL27	246778
1552997_a_at	IQCF1	132141
1552998_at	DEFB125	245938
1552999_a_at	WFDC10B	280664
1553002_at	DEFB105A /// DEFB105B	245908 /// 504180
1553003_at	PKHD1	5314
1553004_at	PKD1L1	168507
1553006_at	GPR112	139378
1553007_a_at	ODZ1	10178
1553009_s_at	REXO1L1	254958
1553011_at	TAF1L	138474
1553013_at	CNTNAP5	129684
1553015_a_at	RECQL4	9401
1553016_at	GPR113	165082
1553019_at	TMC2	117532
1553020_at	SMCR5	140771
1553021_s_at	BICD2	23299
1553022_at	ZIM3	114026
1553023_a_at	NOX5	79400
1553024_at	G30	282706
1553025_at	GPR126	57211
1553027_a_at	KLHL4	56062
1553028_at	GPR156	165829
1553030_a_at	SUOX	6821
1553031_at	GPR115	221393
1553032_at	IL31RA	133396
1553033_at	SYTL5	94122
1553034_at	SDCCAG8	10806
1553036_at	GPR111	222611
1553037_a_at	SYN2	6854
1553039_a_at	ASB10	136371
1553041_at	HTR3C	170572
1553042_a_at	NFKBID	84807
1553043_a_at	CD300LF	146722
1553044_at	GJA10	84694
1553045_at	WNT9A	7483
1553046_s_at	GAL3ST2	64090
1553047_at	PIP4K2B	8396
1553048_a_at	PIP4K2B	8396
1553051_s_at	ODF3	113746
1553052_at	WFDC13	164237
1553053_at	C14orf48	256369
1553055_a_at	SLFN5	162394
1553057_at	SERPINB12	89777
1553058_at	GIPC3	126326
1553059_at	PGLYRP3	114771
1553060_at	PSKH2	85481
1553061_at	OR6W1P	89883
1553062_at	MOGAT1	116255
1553063_at	GPR78	27201
