PATIENT_ID	SAMPLE_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GUYT_50233	GUYT_50233_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50235	GUYT_50235_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50236	GUYT_50236_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50237	GUYT_50237_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50238	GUYT_50238_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50239	GUYT_50239_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50243	GUYT_50243_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50246	GUYT_50246_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50247	GUYT_50247_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50248	GUYT_50248_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50251	GUYT_50251_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50252	GUYT_50252_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50254	GUYT_50254_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50257	GUYT_50257_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
KIT_103B41	KIT_103B41_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_104B91	KIT_104B91_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_112B55	KIT_112B55_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_114B68	KIT_114B68_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_130B92	KIT_130B92_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_131B79	KIT_131B79_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_135B40	KIT_135B40_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_138B34	KIT_138B34_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_139B03	KIT_139B03_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_147B19	KIT_147B19_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_148B49	KIT_148B49_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_14B98	KIT_14B98_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_150B81	KIT_150B81_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_154B42	KIT_154B42_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
