REPORTER_ID	GENE_SYMBOL
7898001	PRAMEF22
7898003	PRAMEF22
7898004	PRAMEF22
7898005	
7898006	
7898008	PRAMEF15
7898009	PRAMEF4
7898010	PRAMEF4
7898011	PRAMEF9
7898013	PRAMEF11
7898014	PRAMEF5
7898015	PRAMEF15
7898016	PRAMEF15
7898017	PRAMEF4
7898018	PRAMEF15
7898019	PRAMEF15
7898021	PRAMEF10
7898022	PRAMEF10
7898023	PRAMEF10
7898024	
7898025	PRAMEF10
7898027	PRAMEF17
7898028	PRAMEF17
7898029	PRAMEF17
7898031	PRAMEF20
7898032	PRAMEF20
7898033	PRAMEF20
7898035	PRAMEF10
7898036	PRAMEF10
7898037	PRAMEF10
7898038	PRAMEF10
7898039	PRAMEF10
7898041	PRAMEF23
7898042	PRAMEF15
7898043	PRAMEF9
7898044	PRAMEF15
7898045	PRAMEF4
7898046	PRAMEF4
7898047	PRAMEF11
7898049	PRAMEF17
7898050	PRAMEF17
7898051	PRAMEF16
7898053	PRAMEF20
7898054	PRAMEF20
7898055	PRAMEF20
7898056	PRAMEF20
7898058	PDPN
7898060	PDPN
7898061	PDPN
7898063	PDPN
7898064	PDPN
7898065	PDPN
7898069	PDPN
7898071	PRDM2
7898072	PRDM2
7898073	PRDM2
7898074	PRDM2
7898075	PRDM2
7898076	PRDM2
7898077	PRDM2
7898078	PRDM2
7898081	PRDM2
7898082	PRDM2
7898083	PRDM2
7898085	KAZN
7898086	KAZN
7898087	KAZN
7898088	KAZN
7898093	KAZN
7898094	KAZN
7898095	KAZN
7898098	KAZN
7898099	KAZN
7898100	KAZN
7898101	KAZN
7898103	KAZN
7898105	KAZN
7898106	KAZN
7898107	KAZN
7898108	KAZN
7898109	KAZN
7898110	KAZN
7898111	KAZN
7898114	
7898117	TMEM51
7898118	TMEM51
7898119	TMEM51
7898120	TMEM51
7898121	TMEM51
7898122	TMEM51
7898123	TMEM51
7898126	FHAD1
7898127	FHAD1
7898128	FHAD1
7898129	FHAD1
7898130	FHAD1
7898131	FHAD1
7898132	FHAD1
7898133	FHAD1
7898134	FHAD1
7898135	FHAD1
7898136	FHAD1
7898137	FHAD1
7898138	FHAD1
7898139	FHAD1
7898140	FHAD1
7898141	FHAD1
7898142	FHAD1
7898143	FHAD1
7898144	FHAD1
7898145	FHAD1
7898146	FHAD1
7898149	FHAD1
7898150	FHAD1
7898151	FHAD1
7898152	FHAD1
7898153	FHAD1
7898157	FHAD1
7898158	FHAD1
7898159	FHAD1
7898160	FHAD1
7898168	CTRC
7898169	CTRC
7898170	CTRC
7898171	CTRC
7898172	CTRC
7898173	CTRC
7898174	CTRC
7898175	CTRC
7898177	CELA2A
7898178	CELA2A
7898179	CELA2A
7898180	CELA2A
7898182	CELA2A
7898183	CELA2A
7898185	CELA2B
7898186	CELA2B
7898187	CELA2B
7898188	CELA2B
7898190	CELA2B
7898191	CELA2B
7898193	DNAJC16
7898194	DNAJC16
7898195	DNAJC16
7898196	DNAJC16
7898197	DNAJC16
7898198	DNAJC16
7898199	DNAJC16
7898200	DNAJC16
7898201	DNAJC16
7898202	DNAJC16
7898203	DNAJC16
7898204	DNAJC16
7898206	DNAJC16
7898207	DNAJC16
7898212	DDI2
7898213	DDI2
7898214	DDI2
7898215	DDI2
7898218	DDI2
7898223	DDI2
7898224	DDI2
7898225	DDI2
7898228	PLEKHM2
7898229	PLEKHM2
7898230	PLEKHM2
7898231	PLEKHM2
7898232	PLEKHM2
7898233	PLEKHM2
7898234	PLEKHM2
7898235	PLEKHM2
7898236	PLEKHM2
7898237	PLEKHM2
7898238	PLEKHM2
7898239	PLEKHM2
7898240	PLEKHM2
7898241	PLEKHM2
7898242	PLEKHM2
7898243	PLEKHM2
7898244	PLEKHM2
7898245	PLEKHM2
7898246	PLEKHM2
7898248	PLEKHM2
7898251	SLC25A34
7898252	SLC25A34
7898253	SLC25A34
7898254	SLC25A34
7898255	SLC25A34
7898257	TMEM82
7898258	TMEM82
7898259	TMEM82
7898260	TMEM82
7898262	TMEM82
7898266	FBLIM1
7898267	FBLIM1
7898268	FBLIM1
7898269	FBLIM1
7898270	FBLIM1
7898272	FBLIM1
7898273	FBLIM1
7898274	FBLIM1
7898275	FBLIM1
7898277	
7898279	SPEN
7898281	SPEN
7898282	SPEN
7898284	SPEN
7898285	SPEN
7898286	SPEN
7898287	SPEN
7898288	SPEN
7898289	SPEN
7898290	SPEN
7898291	SPEN
7898292	SPEN
7898293	SPEN
7898297	C1orf64
7898298	C1orf64
7898299	C1orf64
7898302	CLCNKA
7898303	CLCNKA
7898304	CLCNKA
7898305	CLCNKA
7898306	CLCNKA
7898307	CLCNKA
7898308	CLCNKA
7898309	CLCNKA
7898310	CLCNKA
7898312	CLCNKA
7898313	CLCNKA
7898315	CLCNKB
7898316	CLCNKB
7898317	CLCNKB
7898318	CLCNKB
7898319	CLCNKB
7898320	CLCNKB
7898321	CLCNKB
7898322	CLCNKB
7898323	CLCNKB
7898324	CLCNKB
7898325	CLCNKB
7898326	CLCNKB
7898327	CLCNKB
7898329	C1orf144
7898330	C1orf144
7898331	C1orf144
7898332	C1orf144
7898333	C1orf144
7898334	C1orf144
7898335	C1orf144
7898336	C1orf144
7898338	NECAP2
7898339	NECAP2
7898340	NECAP2
7898341	NECAP2
7898342	NECAP2
7898343	NECAP2
7898344	NECAP2
7898345	NECAP2
7898346	NECAP2
7898347	NECAP2
7898348	NECAP2
7898349	NECAP2
7898351	
7898356	
7898358	MST1P2
7898359	MST1P2
7898360	MST1
7898361	MST1
7898362	MST1P2
7898363	MST1P2
7898364	MST1P2
7898365	MST1P2
7898366	MST1P2
7898367	MST1
7898368	MST1P2
7898369	MST1
7898370	
7898372	LOC729587
7898376	RNU1-5
7898378	CROCC
7898379	CROCC
7898380	CROCC
7898381	CROCC
7898382	CROCC
7898383	CROCC
7898384	CROCC
7898385	CROCC
7898386	CROCC
7898387	CROCC
7898389	CROCC
7898391	CROCC
7898392	CROCC
7898393	CROCC
7898394	CROCC
7898395	CROCC
7898396	CROCC
7898397	CROCC
7898399	CROCC
7898400	
7898401	CROCC
7898403	CROCC
7898404	CROCC
7898406	TRNAG36
7898408	LOC100132147
7898409	LOC100132147
7898412	RNU1-4
7898414	PADI1
7898415	PADI1
7898416	PADI1
7898417	PADI1
7898418	PADI1
7898419	PADI1
7898420	PADI1
7898421	PADI1
7898422	PADI1
7898423	PADI1
7898424	PADI1
7898425	PADI1
7898426	PADI1
7898428	PADI1
7898429	PADI1
7898430	PADI1
7898433	PADI3
7898434	PADI3
7898436	PADI3
7898438	PADI3
7898439	PADI3
7898441	PADI3
7898443	PADI3
7898444	PADI3
7898445	PADI3
7898446	PADI3
7898447	PADI3
7898449	PADI4
7898451	PADI4
7898452	PADI4
7898453	PADI4
7898454	PADI4
7898455	PADI4
7898456	PADI4
7898457	PADI4
7898458	PADI4
7898459	PADI4
7898460	PADI4
7898461	PADI4
7898462	PADI4
7898463	PADI4
7898464	PADI4
7898465	PADI4
7898467	PADI6
7898468	PADI6
7898469	PADI6
7898470	PADI6
7898471	PADI6
7898473	PADI6
7898474	PADI6
7898476	PADI6
7898477	PADI6
7898478	PADI6
7898479	PADI6
7898480	PADI6
7898481	PADI6
7898482	PADI6
7898484	ARHGEF10L
7898485	ARHGEF10L
7898486	ARHGEF10L
7898487	ARHGEF10L
7898488	ARHGEF10L
7898489	ARHGEF10L
7898490	ARHGEF10L
7898491	ARHGEF10L
7898492	ARHGEF10L
7898493	ARHGEF10L
7898494	ARHGEF10L
7898495	ARHGEF10L
7898496	ARHGEF10L
7898497	ARHGEF10L
7898498	ARHGEF10L
7898499	ARHGEF10L
7898500	ARHGEF10L
7898501	ARHGEF10L
7898502	ARHGEF10L
7898503	ARHGEF10L
7898504	ARHGEF10L
7898505	ARHGEF10L
7898506	ARHGEF10L
7898507	ARHGEF10L
7898508	ARHGEF10L
7898509	ARHGEF10L
7898510	ARHGEF10L
7898511	ARHGEF10L
7898512	ARHGEF10L
7898513	ARHGEF10L
7898514	ARHGEF10L
7898515	ARHGEF10L
7898517	ACTL8
7898518	ACTL8
7898519	ACTL8
7898520	ACTL8
7898522	IGSF21
7898523	IGSF21
7898524	IGSF21
7898525	IGSF21
7898526	IGSF21
7898528	IGSF21
7898529	IGSF21
7898530	IGSF21
7898531	IGSF21
7898532	IGSF21
7898534	KLHDC7A
7898536	
7898538	PAX7
7898539	PAX7
7898540	PAX7
7898541	PAX7
7898542	PAX7
7898543	PAX7
7898544	PAX7
7898545	PAX7
7898546	PAX7
7898547	PAX7
7898548	PAX7
7898550	MRTO4
7898551	MRTO4
7898552	MRTO4
7898553	MRTO4
7898554	MRTO4
7898555	MRTO4
7898557	PQLC2
7898558	PQLC2
7898559	PQLC2
7898560	PQLC2
7898561	PQLC2
7898562	PQLC2
7898563	PQLC2
7898564	PQLC2
7898565	PQLC2
7898566	PQLC2
7898569	LOC644083
7898573	
7898576	MINOS1
7898577	MINOS1
7898578	MINOS1
7898579	MINOS1
7898580	MINOS1
7898581	MINOS1
7898584	RPS14P3
7898586	C1orf151-NBL1
7898587	NBL1
7898588	NBL1
7898589	C1orf151-NBL1
7898590	C1orf151-NBL1
7898591	C1orf151-NBL1
7898592	C1orf151-NBL1
7898593	C1orf151-NBL1
7898595	HTR6
7898596	HTR6
7898597	HTR6
7898598	HTR6
7898599	HTR6
7898601	HTR6
7898603	OTUD3
7898604	OTUD3
7898606	OTUD3
7898608	
7898610	PLA2G5
7898611	PLA2G5
7898612	PLA2G5
7898613	PLA2G5
7898614	PLA2G5
7898615	PLA2G5
7898618	PLA2G2F
7898619	PLA2G2F
7898620	PLA2G2F
7898622	PLA2G2F
7898624	UBXN10
7898625	UBXN10
7898626	UBXN10
7898628	VWA5B1
7898629	VWA5B1
7898630	VWA5B1
7898631	VWA5B1
7898632	VWA5B1
7898633	VWA5B1
7898634	VWA5B1
7898635	VWA5B1
7898636	VWA5B1
7898637	VWA5B1
7898638	VWA5B1
7898639	VWA5B1
7898640	VWA5B1
7898641	VWA5B1
7898642	VWA5B1
7898643	VWA5B1
7898644	VWA5B1
7898645	VWA5B1
7898646	VWA5B1
7898647	VWA5B1
7898649	VWA5B1
7898650	VWA5B1
7898651	VWA5B1
7898652	VWA5B1
7898654	FAM43B
7898657	CDA
7898658	CDA
7898659	CDA
7898660	CDA
7898661	CDA
7898662	CDA
7898664	PINK1
7898665	PINK1
7898666	PINK1
7898668	PINK1
7898669	PINK1
7898670	PINK1
7898671	PINK1
7898672	PINK1
7898678	HS6ST1
7898680	LOC100653178
7898681	NBPF3
7898682	NBPF3
7898683	LOC100653178
7898684	NBPF3
7898685	NBPF3
7898686	NBPF3
7898687	NBPF3
7898688	LOC100653178
7898690	NBPF3
7898691	NBPF3
7898692	LOC100653178
7898694	ALPL
7898695	ALPL
7898696	ALPL
7898697	ALPL
7898698	ALPL
7898699	ALPL
7898700	ALPL
7898701	ALPL
7898702	ALPL
7898703	ALPL
7898704	ALPL
7898705	ALPL
7898706	ALPL
7898708	LDLRAD2
7898709	LDLRAD2
7898710	LDLRAD2
7898711	LDLRAD2
7898712	LDLRAD2
7898715	CELA3B
7898716	CELA3B
7898717	CELA3B
7898718	CELA3B
7898719	CELA3B
7898720	CELA3B
7898724	
7898726	CELA3A
7898727	CELA3A
7898728	CELA3A
7898729	CELA3A
7898730	CELA3A
7898733	
7898735	
7898737	LINC00339
7898738	LINC00339
7898740	CDC42
7898741	CDC42
7898742	CDC42
7898743	CDC42
7898744	CDC42
7898745	CDC42
7898746	CDC42
7898747	CDC42
7898751	ZBTB40
7898752	ZBTB40
7898753	ZBTB40
7898754	ZBTB40
7898755	ZBTB40
7898756	ZBTB40
7898757	ZBTB40
7898758	ZBTB40
7898759	ZBTB40
7898760	ZBTB40
7898761	ZBTB40
7898762	ZBTB40
7898763	ZBTB40
7898764	ZBTB40
7898765	ZBTB40
7898766	ZBTB40
7898767	ZBTB40
7898768	ZBTB40
7898769	ZBTB40
7898770	ZBTB40
7898771	ZBTB40
7898772	ZBTB40
7898774	EPHA8
7898775	EPHA8
7898776	EPHA8
7898777	EPHA8
7898778	EPHA8
7898781	EPHA8
7898782	EPHA8
7898783	EPHA8
7898785	EPHA8
7898788	EPHA8
7898789	EPHA8
7898790	EPHA8
7898791	EPHA8
7898792	EPHA8
7898794	C1QA
7898796	C1QA
7898798	C1QA
7898800	C1QC
7898801	C1QC
7898802	C1QC
7898803	C1QC
7898804	C1QC
7898807	C1QB
7898808	C1QB
7898810	EPHB2
7898811	EPHB2
7898812	EPHB2
7898813	EPHB2
7898814	EPHB2
7898815	EPHB2
7898816	EPHB2
7898817	EPHB2
7898819	EPHB2
7898820	EPHB2
7898821	EPHB2
7898822	EPHB2
7898823	EPHB2
7898824	EPHB2
7898825	EPHB2
7898826	EPHB2
7898827	EPHB2
7898828	EPHB2
7898829	EPHB2
7898830	EPHB2
7898831	EPHB2
7898832	EPHB2
7898834	KDM1A
7898835	KDM1A
7898836	KDM1A
7898837	KDM1A
7898838	KDM1A
7898839	KDM1A
7898840	KDM1A
7898841	KDM1A
