REPORTER ID 	miRNA ID
A_25_P00010019	hsa-miR-329
A_25_P00010634	hsa-miR-584-5p
A_25_P00010635	hsa-miR-584-5p
A_25_P00010640	hsa-miR-601
A_25_P00010641	hsa-miR-601
A_25_P00010642	hsa-miR-601
A_25_P00010643	hsa-miR-601
A_25_P00010648	hsa-miR-551b-3p
A_25_P00010657	hsa-miR-503-5p
A_25_P00010658	hsa-miR-503-5p
A_25_P00010665	hsa-miR-662
A_25_P00010666	hsa-miR-662
A_25_P00010667	hsa-miR-662
A_25_P00010668	hsa-miR-662
A_25_P00010669	hsa-miR-326
A_25_P00010670	hsa-miR-326
A_25_P00010671	hsa-miR-326
A_25_P00010676	hsa-miR-24-3p
A_25_P00010677	hsa-miR-24-3p
A_25_P00010682	hsa-miR-30d-5p
A_25_P00010683	hsa-miR-30d-5p
A_25_P00010687	hsa-miR-498
A_25_P00010688	hsa-miR-498
A_25_P00010689	hsa-miR-221-3p
A_25_P00010690	hsa-miR-221-3p
A_25_P00010693	hsa-miR-512-5p
A_25_P00010694	hsa-miR-512-5p
A_25_P00010696	hsa-miR-519e-5p
A_25_P00010697	hsa-miR-519e-5p
A_25_P00010700	hsa-miR-199a-5p
A_25_P00010706	hsa-miR-485-5p
A_25_P00010707	hsa-miR-485-5p
A_25_P00010708	hsa-miR-485-5p
A_25_P00010709	hsa-miR-512-3p
A_25_P00010710	hsa-miR-512-3p
A_25_P00010720	hsa-miR-496
A_25_P00010721	hsa-miR-496
A_25_P00010741	hsa-miR-548c-3p
A_25_P00010742	hsa-miR-548c-3p
A_25_P00010743	hsa-miR-548c-3p
A_25_P00010761	hsa-miR-27b-3p
A_25_P00010763	hsa-miR-147a
A_25_P00010764	hsa-miR-147a
A_25_P00010765	hsa-miR-454-5p
A_25_P00010766	hsa-miR-454-5p
A_25_P00010769	hsa-miR-195-5p
A_25_P00010770	hsa-miR-195-5p
A_25_P00010771	hsa-miR-617
A_25_P00010772	hsa-miR-617
A_25_P00010773	hsa-miR-617
A_25_P00010774	hsa-miR-449b-5p
A_25_P00010775	hsa-miR-449b-5p
A_25_P00010776	hsa-miR-449b-5p
A_25_P00010781	hsa-miR-646
A_25_P00010783	hsa-miR-526b-3p
A_25_P00010784	hsa-miR-526b-3p
A_25_P00010785	hsa-miR-564
A_25_P00010786	hsa-miR-564
A_25_P00010787	hsa-miR-564
A_25_P00010788	hsa-miR-369-5p
A_25_P00010789	hsa-miR-369-5p
A_25_P00010790	hsa-miR-380-5p
A_25_P00010791	hsa-miR-380-5p
A_25_P00010792	hsa-miR-380-5p
A_25_P00010794	hsa-miR-421
A_25_P00010795	hsa-miR-421
A_25_P00010797	hsa-miR-27a-3p
A_25_P00010799	hsa-miR-663a
A_25_P00010800	hsa-miR-663a
A_25_P00010805	hsa-miR-622
A_25_P00010806	hsa-miR-622
A_25_P00010807	hsa-miR-622
A_25_P00010808	hsa-miR-575
A_25_P00010815	hsa-miR-30c-5p
A_25_P00010825	hsa-miR-631
A_25_P00010826	hsa-miR-631
A_25_P00010827	hsa-miR-30a-3p
A_25_P00010829	hsa-miR-489
A_25_P00010830	hsa-miR-489
A_25_P00010832	hsa-miR-629-3p
A_25_P00010833	hsa-miR-629-3p
A_25_P00010834	hsa-miR-629-3p
A_25_P00010835	hsa-miR-197-3p
A_25_P00010836	hsa-miR-197-3p
A_25_P00010839	hsa-miR-301a-3p
A_25_P00010841	hsa-miR-373-5p
A_25_P00010842	hsa-miR-373-5p
A_25_P00010843	hsa-miR-23a-3p
A_25_P00010853	hsa-miR-212-3p
A_25_P00010854	hsa-miR-212-3p
A_25_P00010868	hsa-miR-192-5p
A_25_P00010869	hsa-miR-192-5p
A_25_P00010872	hsa-miR-602
A_25_P00010873	hsa-miR-602
A_25_P00010874	hsa-miR-602
A_25_P00010875	hsa-miR-191-3p
A_25_P00010876	hsa-miR-191-3p
A_25_P00010877	hsa-miR-191-3p
A_25_P00010878	hsa-miR-191-3p
A_25_P00010881	hsa-miR-23b-3p
A_25_P00010882	hsa-miR-23b-3p
A_25_P00010883	hsa-miR-181a-3p
A_25_P00010885	hsa-miR-181a-3p
A_25_P00010891	hsa-miR-583
A_25_P00010892	hsa-miR-583
A_25_P00010893	hsa-miR-583
A_25_P00010894	hsa-miR-361-5p
A_25_P00010901	hsa-miR-611
A_25_P00010902	hsa-miR-611
A_25_P00010903	hsa-miR-611
A_25_P00010910	hsa-miR-634
A_25_P00010911	hsa-miR-634
A_25_P00010912	hsa-miR-634
A_25_P00010913	hsa-miR-634
A_25_P00010914	hsa-miR-604
A_25_P00010915	hsa-miR-604
A_25_P00010916	hsa-miR-604
A_25_P00010917	hsa-miR-650
A_25_P00010918	hsa-miR-650
A_25_P00010919	hsa-miR-650
A_25_P00010926	hsa-miR-215
A_25_P00010927	hsa-miR-215
A_25_P00010933	hsa-miR-568
A_25_P00010934	hsa-miR-568
A_25_P00010935	hsa-miR-607
A_25_P00010936	hsa-miR-607
A_25_P00010941	hsa-miR-567
A_25_P00010942	hsa-miR-567
A_25_P00010943	hsa-miR-567
A_25_P00010944	hsa-miR-567
A_25_P00010945	hsa-miR-566
A_25_P00010946	hsa-miR-566
A_25_P00010948	hsa-miR-599
A_25_P00010953	hsa-miR-363-3p
A_25_P00010954	hsa-miR-363-3p
A_25_P00010960	hsa-miR-585
A_25_P00010961	hsa-miR-585
A_25_P00010962	hsa-miR-585
A_25_P00010963	hsa-miR-133b
A_25_P00010964	hsa-miR-133b
A_25_P00010965	hsa-miR-182-3p
A_25_P00010966	hsa-miR-182-3p
A_25_P00010967	hsa-miR-182-3p
A_25_P00010968	hsa-miR-182-3p
A_25_P00010971	hsa-miR-384
A_25_P00010975	hsa-miR-21-5p
A_25_P00010976	hsa-miR-21-5p
A_25_P00010977	hsa-miR-425-5p
A_25_P00010979	hsa-miR-125b-5p
A_25_P00010980	hsa-miR-125b-5p
A_25_P00010981	hsa-miR-135a-5p
A_25_P00010982	hsa-miR-302a-3p
A_25_P00010983	hsa-miR-302a-3p
A_25_P00010984	hsa-miR-367-3p
A_25_P00010985	hsa-miR-367-3p
A_25_P00010986	hsa-miR-375
A_25_P00010987	hsa-miR-375
A_25_P00010989	hsa-miR-25-3p
A_25_P00010990	hsa-miR-25-3p
A_25_P00010991	hsa-miR-645
A_25_P00010992	hsa-miR-645
A_25_P00010993	hsa-miR-645
A_25_P00010994	hsa-miR-645
A_25_P00010995	hsa-miR-210
A_25_P00010996	hsa-miR-210
A_25_P00010997	hsa-miR-19a-3p
A_25_P00010998	hsa-miR-19a-3p
A_25_P00010999	hsa-miR-19b-3p
A_25_P00011000	hsa-miR-19b-3p
A_25_P00011002	hsa-miR-9-5p
A_25_P00011003	hsa-miR-9-5p
A_25_P00011004	hsa-miR-103a-3p
A_25_P00011005	hsa-miR-103a-3p
A_25_P00011006	hsa-miR-194-5p
A_25_P00011007	hsa-miR-194-5p
A_25_P00011010	hsa-miR-200a-5p
A_25_P00011011	hsa-miR-200a-5p
A_25_P00011012	hsa-miR-200a-5p
A_25_P00011016	hsa-miR-142-3p
A_25_P00011017	hsa-miR-136-5p
A_25_P00011018	hsa-miR-136-5p
A_25_P00011019	hsa-miR-632
A_25_P00011020	hsa-miR-632
A_25_P00011021	hsa-miR-632
A_25_P00011022	hsa-miR-610
A_25_P00011023	hsa-miR-610
A_25_P00011024	hsa-miR-610
A_25_P00011025	hsa-miR-610
A_25_P00011030	hsa-miR-627
A_25_P00011031	hsa-miR-627
A_25_P00011032	hsa-miR-627
A_25_P00011033	hsa-miR-627
A_25_P00011037	hsa-miR-506-3p
A_25_P00011038	hsa-miR-506-3p
A_25_P00011046	hsa-miR-330-3p
A_25_P00011054	hsa-miR-624-5p
A_25_P00011055	hsa-miR-624-5p
A_25_P00011056	hsa-miR-624-5p
A_25_P00011057	hsa-miR-598
A_25_P00011058	hsa-miR-598
A_25_P00011060	hsa-miR-511
A_25_P00011061	hsa-miR-511
A_25_P00011062	hsa-miR-511
A_25_P00011063	hsa-miR-511
A_25_P00011068	hsa-miR-107
A_25_P00011069	hsa-miR-107
A_25_P00011083	hsa-miR-431-5p
A_25_P00011084	hsa-miR-431-5p
A_25_P00011086	hsa-miR-95
A_25_P00011096	hsa-miR-572
A_25_P00011097	hsa-miR-572
A_25_P00011098	hsa-miR-659-3p
A_25_P00011100	hsa-miR-659-3p
A_25_P00011101	hsa-miR-15b-5p
A_25_P00011102	hsa-miR-15b-5p
A_25_P00011109	hsa-miR-424-5p
A_25_P00011110	hsa-miR-424-5p
A_25_P00011111	hsa-miR-507
A_25_P00011112	hsa-miR-507
A_25_P00011121	hsa-miR-552
A_25_P00011123	hsa-miR-633
A_25_P00011124	hsa-miR-633
A_25_P00011125	hsa-miR-542-3p
A_25_P00011126	hsa-miR-542-3p
A_25_P00011131	hsa-miR-559
A_25_P00011132	hsa-miR-559
A_25_P00011219	hsa-miR-553
A_25_P00011220	hsa-miR-553
A_25_P00011221	hsa-miR-553
A_25_P00011222	hsa-miR-553
A_25_P00011227	hsa-miR-655
A_25_P00011228	hsa-miR-655
A_25_P00011229	hsa-miR-655
A_25_P00011230	hsa-miR-769-3p
A_25_P00011231	hsa-miR-769-3p
A_25_P00011232	hsa-miR-769-3p
A_25_P00011233	hsa-miR-769-3p
A_25_P00011234	hsa-miR-626
A_25_P00011235	hsa-miR-626
A_25_P00011236	hsa-miR-612
A_25_P00011237	hsa-miR-612
A_25_P00011238	hsa-miR-612
A_25_P00011239	hsa-miR-612
A_25_P00011242	hsa-miR-616-5p
A_25_P00011244	hsa-miR-802
A_25_P00011245	hsa-miR-802
A_25_P00011246	hsa-miR-802
A_25_P00011247	hsa-miR-802
A_25_P00011249	hsa-miR-578
A_25_P00011250	hsa-miR-578
A_25_P00011251	hsa-miR-578
A_25_P00011252	hsa-miR-591
A_25_P00011253	hsa-miR-591
A_25_P00011254	hsa-miR-591
A_25_P00011255	hsa-miR-639
A_25_P00011256	hsa-miR-639
A_25_P00011259	hsa-miR-597
A_25_P00011260	hsa-miR-597
A_25_P00011261	hsa-miR-597
A_25_P00011262	hsa-miR-597
A_25_P00011265	hsa-miR-658
A_25_P00011271	hsa-miR-637
A_25_P00011275	hsa-miR-661
A_25_P00011280	hsa-miR-618
A_25_P00011281	hsa-miR-618
A_25_P00011282	hsa-miR-618
A_25_P00011283	hsa-miR-581
A_25_P00011284	hsa-miR-581
A_25_P00011285	hsa-miR-581
A_25_P00011287	hsa-miR-554
A_25_P00011288	hsa-miR-554
A_25_P00011289	hsa-miR-554
A_25_P00011290	hsa-miR-619
A_25_P00011291	hsa-miR-619
A_25_P00011293	hsa-miR-619
A_25_P00011294	hsa-miR-561-3p
