REPORTER_ID	GENE_SYMBOL
8090866	ANAPC13
7928300	ANAPC16
8165462	ANAPC2
8094408	ANAPC4
7967149	ANAPC5
7966301	ANAPC7
7973084	ANG
7980327	ANGEL1
7924190	ANGEL2
8152297	ANGPT1
8149071	ANGPT2
8064396	ANGPT4
7922598	ANGPTL1
8164200	ANGPTL2
7901883	ANGPTL3
8025402	ANGPTL4
7951195	ANGPTL5
8033892	ANGPTL6
7897675	ANGPTL7
8150439	ANK1
8096959	ANK2
7933772	ANK3
8047006	ANKAR
7984227	ANKDD1A
8008609	ANKFN1
8011599	ANKFY1
8104590	ANKH
8111101	ANKH
8108510	ANKHD1-EIF4EBP3
8134180	ANKIB1
7943943	ANKK1
8026712	ANKLE1
7967794	ANKLE2
8060103	ANKMY1
8138370	ANKMY2
8112596	ANKRA2
7934979	ANKRD1
7972828	ANKRD10
8003448	ANKRD11
8175585	ANKRD11
8020068	ANKRD12
7958600	ANKRD13A
8006063	ANKRD13B
7916928	ANKRD13C
7941822	ANKRD13D
7931888	ANKRD16
8100902	ANKRD17
8161270	ANKRD18A
8154823	ANKRD18B
8156360	ANKRD19
7929653	ANKRD2
8155574	ANKRD20A1
8155602	ANKRD20A2
8155397	ANKRD20A3
8161388	ANKRD20A3
8020343	ANKRD20A5
7919146	ANKRD20B
7970381	ANKRD20B
8053737	ANKRD20B
8053741	ANKRD20B
8053744	ANKRD20B
8067864	ANKRD20B
8155414	ANKRD20B
8155591	ANKRD20B
7934898	ANKRD22
8053984	ANKRD23
8024768	ANKRD24
7932637	ANKRD26
8001113	ANKRD26P1
8035905	ANKRD27
8085628	ANKRD28
8022559	ANKRD29
7927033	ANKRD30A
8020357	ANKRD30B
8069499	ANKRD30B
8055297	ANKRD30BL
8067825	ANKRD30BP2
8112672	ANKRD31
8106931	ANKRD32
8113124	ANKRD32
7955551	ANKRD33
8104499	ANKRD33B
7904737	ANKRD34A
8112896	ANKRD34B
7985238	ANKRD34C
7904796	ANKRD35
8043687	ANKRD36
8043697	ANKRD36B
8053801	ANKRD36B
8053834	ANKRD36B
8054054	ANKRD36B
8054064	ANKRD36B
7922121	ANKRD36BP1
8098604	ANKRD37
8053998	ANKRD39
8016725	ANKRD40
7942858	ANKRD42
7942875	ANKRD42
8107992	ANKRD43
8057990	ANKRD44
7922382	ANKRD45
8152053	ANKRD46
7943231	ANKRD49
8060949	ANKRD5
8102720	ANKRD50
7964033	ANKRD52
8042558	ANKRD53
8075971	ANKRD54
8112159	ANKRD55
8101207	ANKRD56
8044301	ANKRD57
8169657	ANKRD58
8121095	ANKRD6
8067242	ANKRD60
8131381	ANKRD61
8020197	ANKRD62
8074201	ANKRD62
8135697	ANKRD7
7981377	ANKRD9
8118863	ANKS1A
7965686	ANKS1B
7999177	ANKS3
7993815	ANKS4B
8162803	ANKS6
8048489	ANKZF1
8132318	ANLN
7942135	ANO1
8086467	ANO10
7960438	ANO2
7939024	ANO3
7957861	ANO4
7938951	ANO5
7954997	ANO6
8049799	ANO7
8035278	ANO8
7945394	ANO9
7982531	ANP32A
7990020	ANP32A
8156750	ANP32B
8103518	ANP32C
7955117	ANP32D
7919715	ANP32E
7991335	ANPEP
8042439	ANTXR1
8101260	ANTXR2
7927294	ANTXRL
7933237	ANUBL1
8155849	ANXA1
8098246	ANXA10
7934733	ANXA11
8152719	ANXA13
7989335	ANXA2
8103240	ANXA2P1
8154836	ANXA2P2
