REPORTER ID	GENE SYMBOL
ILMN_3167547	hsa-miR-122
ILMN_3167405	HS_284
ILMN_3166996	hsa-miR-571
ILMN_3166965	hsa-miR-383
ILMN_3167655	hsa-miR-556-5p
ILMN_3167304	HS_1
ILMN_3168488	hsa-miR-508-3p
ILMN_3167434	hsa-miR-15a
ILMN_3167060	hsa-miR-15b
ILMN_3167723	HS_68
ILMN_3167451	hsa-miR-449a
ILMN_3167740	HS_276.1
ILMN_3167586	HS_241.1
ILMN_3167733	HS_194
ILMN_3168065	HS_89
ILMN_3167704	hsa-miR-566
ILMN_3167241	hsa-miR-518b
ILMN_3167014	hsa-miR-518a-3p
ILMN_3167757	hsa-miR-518f:9.1
ILMN_3167559	HS_188
ILMN_3167505	HS_78
ILMN_3167573	HS_267
ILMN_3167521	hsa-miR-560:9.1
ILMN_3167955	HS_202.1
ILMN_3168092	HS_217
ILMN_3168486	hsa-miR-621
ILMN_3167606	hsa-miR-801:9.1
ILMN_3167460	HS_69
ILMN_3167049	HS_153
ILMN_3168107	hsa-miR-106a:9.1
ILMN_3166944	hsa-miR-302c
ILMN_3167386	hsa-miR-302d
ILMN_3167116	hsa-miR-302a
ILMN_3167753	hsa-miR-520d:9.1
ILMN_3167868	HS_154
ILMN_3167622	HS_138
ILMN_3167639	HS_128
ILMN_3168474	HS_167.1
ILMN_3167696	hsa-miR-613
ILMN_3167986	HS_58
ILMN_3167585	HS_192.1
ILMN_3167979	hsa-miR-539
ILMN_3168269	HS_65
ILMN_3167343	HS_183.1
ILMN_3168013	HS_252.1
ILMN_3167051	HS_258
ILMN_3167837	hsa-miR-31
ILMN_3168429	hsa-miR-34a
ILMN_3168332	HS_205.1
ILMN_3167404	HS_55.1
ILMN_3167975	HS_285
ILMN_3168017	HS_114
ILMN_3168211	hsa-miR-24
ILMN_3168281	hsa-miR-941
ILMN_3167055	HS_44.1
ILMN_3167041	HS_195
ILMN_3167802	HS_94
ILMN_3167994	HS_119
ILMN_3168382	HS_33
ILMN_3168108	hsa-miR-638
ILMN_3168161	HS_72
ILMN_3168383	HS_19
ILMN_3167684	HS_170
ILMN_3166984	hsa-miR-555
ILMN_3167782	HS_83.1
ILMN_3167419	hsa-miR-376a*:9.1
ILMN_3167418	hsa-miR-198
ILMN_3167790	HS_48.1
ILMN_3167633	HS_190
ILMN_3167047	HS_139
ILMN_3167408	hsa-miR-563
ILMN_3167913	hsa-miR-299-5p
ILMN_3167455	hsa-miR-30a
ILMN_3168138	hsa-miR-30e
ILMN_3167122	hsa-miR-194
ILMN_3168414	HS_47
ILMN_3167470	HS_151.1
ILMN_3167137	hsa-miR-567
ILMN_3167844	hsa-miR-630
ILMN_3167364	HS_52
ILMN_3167456	hsa-miR-145
ILMN_3168348	hsa-miR-133b
ILMN_3168314	hsa-miR-133a
ILMN_3168384	HS_54
ILMN_3168377	HS_87
ILMN_3168324	hsa-miR-550*
ILMN_3167375	hsa-miR-203
ILMN_3168182	HS_243.1
ILMN_3167272	hsa-miR-489
ILMN_3168224	hsa-miR-627
ILMN_3167879	HS_251.1
ILMN_3167416	HS_73.1
ILMN_3167767	HS_45.1
ILMN_3166988	hsa-miR-33b
ILMN_3167691	hsa-miR-33a
ILMN_3168103	hsa-miR-189:9.1
ILMN_3167362	hsa-miR-512-3p
ILMN_3168350	hsa-miR-520g
ILMN_3167617	hsa-miR-520b
ILMN_3168043	hsa-miR-520c-3p
ILMN_3168242	hsa-miR-520e
ILMN_3167616	HS_29
ILMN_3167509	hsa-miR-363*
ILMN_3167198	hsa-miR-647
ILMN_3167749	HS_199
ILMN_3167862	HS_216
ILMN_3167500	hsa-miR-608
ILMN_3168141	hsa-miR-597
ILMN_3168336	hsa-miR-632
ILMN_3167598	hsa-miR-511
ILMN_3168531	HS_132.1
ILMN_3167504	HS_86
ILMN_3167920	hsa-miR-147
ILMN_3167428	hsa-miR-607
ILMN_3167398	HS_57.1
ILMN_3168254	HS_130
ILMN_3167843	hsa-miR-768-5p:11.0
ILMN_3166982	hsa-miR-599
ILMN_3167050	hsa-miR-452
ILMN_3167474	hsa-miR-302a*
ILMN_3167194	hsa-miR-9*
ILMN_3168387	hsa-miR-559
ILMN_3167865	hsa-miR-106b
ILMN_3167813	HS_61
ILMN_3168064	hsa-miR-141
ILMN_3168212	hsa-miR-132
ILMN_3168328	hsa-miR-506
ILMN_3168282	hsa-miR-18a
ILMN_3167948	hsa-miR-18b
ILMN_3168297	hsa-miR-365
ILMN_3167831	hsa-miR-520d-5p
ILMN_3166972	HS_11.1
ILMN_3167808	hsa-miR-101
ILMN_3168478	hsa-miR-199a*:9.1
ILMN_3168030	hsa-miR-144:9.1
ILMN_3167276	hsa-miR-10b
ILMN_3167552	hsa-miR-10a
ILMN_3168087	hsa-miR-510
ILMN_3168294	hsa-miR-200b
ILMN_3167406	hsa-miR-577
ILMN_3167035	hsa-miR-29a
ILMN_3168172	hsa-miR-29b
ILMN_3167643	hsa-miR-29c
ILMN_3168099	HS_113
ILMN_3167371	hsa-miR-21
ILMN_3167351	hsa-miR-1296
ILMN_3167628	hsa-miR-196a
ILMN_3168308	hsa-miR-196b
ILMN_3167522	hsa-miR-154
ILMN_3167264	hsa-miR-624*
ILMN_3167988	hsa-miR-411
ILMN_3168477	hsa-miR-381
ILMN_3168391	hsa-miR-361-5p
ILMN_3167874	hsa-miR-135b
ILMN_3167823	hsa-miR-135a
ILMN_3167450	hsa-miR-380
ILMN_3167714	hsa-miR-455-5p
ILMN_3167472	hsa-miR-32
ILMN_3167360	hsa-miR-92b
ILMN_3166986	hsa-miR-92a
ILMN_3166940	hsa-miR-137
ILMN_3167267	hsa-miR-373*
ILMN_3168359	HS_41
ILMN_3167294	hsa-miR-105
ILMN_3168412	hsa-miR-505
ILMN_3167996	hsa-miR-335
ILMN_3167939	HS_66
ILMN_3167997	hsa-miR-23b
ILMN_3168226	hsa-miR-23a
ILMN_3166945	HS_43.1
ILMN_3168253	hsa-miR-512-5p
