Reporter ID	miRNA ID
A_25_P00015000	hsa-miR-877*
A_25_P00010629	hsa-miR-203
A_25_P00012154	hsa-miR-122
A_25_P00012418	hsa-miR-423-5p
A_25_P00010360	hsa-miR-485-3p
A_25_P00012462	hsa-miR-483-3p
A_25_P00012666	hsa-miR-508-5p
A_25_P00014879	hsa-miR-520h
A_25_P00012242	hsa-miR-186
A_25_P00010449	hsa-miR-550*
A_25_P00013245	hsa-miR-100*
A_25_P00013228	hsa-miR-92a-2*
A_25_P00011954	hsa-miR-769-5p
A_25_P00012242	hsa-miR-186
A_25_P00012955	hsa-miR-875-5p
A_25_P00013418	hsa-miR-143*
A_25_P00012411	hsa-miR-196b
A_25_P00010793	hsa-miR-380*
A_25_P00012300	hsa-miR-30e
A_25_P00014877	hsa-miR-518c*
A_25_P00011823	ebv-miR-BHRF1-2*
A_25_P00010154	hsa-miR-324-5p
A_25_P00010583	hsa-miR-154
A_25_P00012944	hsa-miR-541
A_25_P00013171	hsa-miR-20a*
A_25_P00010116	hsa-miR-154*
A_25_P00010445	hsa-miR-299-5p
A_25_P00010268	hsa-miR-412
A_25_P00013015	hsa-miR-543
A_25_P00012650	hsa-miR-504
A_25_P00010631	hsa-miR-28-5p
A_25_P00010891	hsa-miR-583
A_25_P00011003	hsa-miR-9
A_25_P00014851	hsa-miR-365
A_25_P00013342	hsa-miR-218-2*
A_25_P00012422	hsa-miR-423-3p
A_25_P00013324	hsa-miR-187*
A_25_P00010786	hsa-miR-564
A_25_P00013771	ebv-miR-BART17-5p
A_25_P00012090	hsa-miR-181b
A_25_P00012441	hsa-miR-453
A_25_P00013719	ebv-miR-BART1-5p
A_25_P00011254	hsa-miR-591
A_25_P00013453	hsa-miR-150*
A_25_P00013178	hsa-miR-22*
A_25_P00013349	hsa-miR-222*
A_25_P00011868	ebv-miR-BART6-3p
A_25_P00012203	hsa-miR-191
A_25_P00012996	hsa-miR-877
A_25_P00011591	hsa-miR-618
A_25_P00012120	hsa-miR-219-1-3p
A_25_P00013445	hsa-miR-146a*
A_25_P00012515	hsa-miR-181d
A_25_P00010693	hsa-miR-512-5p
A_25_P00010832	hsa-miR-629*
A_25_P00012956	hsa-miR-875-3p
A_25_P00012425	hsa-miR-423-3p
A_25_P00012192	hsa-miR-145
A_25_P00013710	ebv-miR-BHRF1-2
A_25_P00011790	ebv-miR-BART8
A_25_P00010613	hsa-miR-20a
A_25_P00010995	hsa-miR-210
A_25_P00010506	hsa-miR-302c*
A_25_P00011605	hsa-miR-558
A_25_P00011856	kshv-miR-K12-4-3p
A_25_P00012317	hsa-miR-376c
A_25_P00013777	ebv-miR-BART18-5p
A_25_P00010620	hsa-miR-302b
A_25_P00014151	hsa-miR-516a-5p
A_25_P00014890	hsa-miR-513a-3p
A_25_P00011712	kshv-miR-K12-2
A_25_P00012192	hsa-miR-145
A_25_P00011281	hsa-miR-618
A_25_P00012472	hsa-miR-488
A_25_P00011869	ebv-miR-BART6-3p
A_25_P00010096	hsa-miR-626
A_25_P00013303	hsa-miR-10a*
A_25_P00011054	hsa-miR-624*
A_25_P00013001	hsa-miR-887
A_25_P00013310	hsa-miR-34a*
A_25_P00011346	hsa-miR-767-5p
A_25_P00011386	hsa-miR-603
A_25_P00012692	hsa-miR-532-3p
A_25_P00011387	hsa-miR-603
A_25_P00014888	hsa-miR-513a-3p
A_25_P00013601	hsa-miR-497*
A_25_P00012779	hsa-miR-593
A_25_P00012418	hsa-miR-423-5p
A_25_P00011991	hsa-miR-17
A_25_P00011406	hsa-miR-593*
A_25_P00010172	hsa-miR-521
A_25_P00012954	hsa-miR-875-5p
A_25_P00011048	hsa-miR-330-3p
A_25_P00013781	ebv-miR-BART18-3p
A_25_P00013189	hsa-miR-24-2*
A_25_P00012576	hsa-miR-517a
A_25_P00012611	hsa-miR-522
A_25_P00013565	hsa-miR-425*
A_25_P00011370	hsa-miR-647
A_25_P00011973	hsa-miR-768-3p_v11.0
A_25_P00013372	hsa-miR-23b*
A_25_P00012966	hsa-miR-876-3p
A_25_P00014868	hsa-miR-518e*
A_25_P00012789	hsa-miR-615-3p
A_25_P00012058	hsa-miR-198
A_25_P00010806	hsa-miR-622
A_25_P00013512	hsa-miR-302b*
A_25_P00014943	hsa-miR-1231
A_25_P00010440	hsa-miR-130a
A_25_P00013602	hsa-miR-518f*
A_25_P00012192	hsa-miR-145
A_25_P00013330	hsa-miR-196a*
A_25_P00012209	hsa-miR-125a-5p
A_25_P00011018	hsa-miR-136
A_25_P00013160	hsa-miR-19b-1*
A_25_P00013755	ebv-miR-BART12
A_25_P00013244	hsa-miR-100*
A_25_P00012706	hsa-miR-545
A_25_P00013190	hsa-miR-25*
A_25_P00010772	hsa-miR-617
A_25_P00011961	hsa-miR-654-5p
A_25_P00014821	hsa-miR-27a
A_25_P00011981	hsa-let-7d
A_25_P00011966	hsa-miR-635
A_25_P00010775	hsa-miR-449b
A_25_P00014931	hsa-miR-1227
A_25_P00010428	hsa-miR-519c-3p
A_25_P00012996	hsa-miR-877
A_25_P00014849	hsa-miR-99b
A_25_P00013306	hsa-miR-10b*
A_25_P00012563	hsa-miR-520c-3p
A_25_P00014998	hsa-miR-877*
A_25_P00011985	hsa-let-7e
A_25_P00013571	hsa-miR-18b*
A_25_P00011294	hsa-miR-561
A_25_P00010533	hsa-miR-614
A_25_P00013286	hsa-miR-30c-2*
A_25_P00010668	hsa-miR-662
A_25_P00010967	hsa-miR-182*
A_25_P00010019	hsa-miR-329
A_25_P00013761	ebv-miR-BART15
A_25_P00012797	hsa-miR-548c-5p
A_25_P00014817	hsa-miR-15a
A_25_P00010382	hsa-miR-127-3p
A_25_P00012685	hsa-miR-514
A_25_P00012275	hsa-miR-29c
A_25_P00014889	hsa-miR-513a-3p
A_25_P00010053	hsa-miR-29b
A_25_P00010037	hsa-miR-220a
A_25_P00013195	hsa-miR-26a-1*
A_25_P00010944	hsa-miR-567
A_25_P00010122	hsa-miR-548b-3p
A_25_P00012459	hsa-miR-483-5p
A_25_P00013340	hsa-miR-218-2*
A_25_P00011057	hsa-miR-598
A_25_P00013408	hsa-miR-138-2*
A_25_P00010169	hsa-miR-520g
A_25_P00010044	hsa-miR-363*
A_25_P00013606	hsa-miR-505*
A_25_P00013824	hiv1-miR-H1
A_25_P00013760	ebv-miR-BART15
A_25_P00011985	hsa-let-7e
A_25_P00014852	hsa-miR-365
A_25_P00014820	hsa-miR-23a
A_25_P00010633	hsa-miR-571
A_25_P00012107	hsa-miR-214
A_25_P00012343	hsa-miR-340
A_25_P00011391	hsa-miR-562
A_25_P00010912	hsa-miR-634
A_25_P00011965	hsa-miR-766
A_25_P00014229	hsa-miR-577
A_25_P00013515	hsa-miR-302d*
A_25_P00010669	hsa-miR-326
A_25_P00012691	hsa-miR-532-3p
A_25_P00011379	hsa-miR-600
A_25_P00011473	hsa-miR-551a
A_25_P00011616	hsa-miR-643
A_25_P00012791	hsa-miR-615-3p
A_25_P00013341	hsa-miR-218-2*
A_25_P00013355	hsa-miR-223*
A_25_P00010644	hsa-miR-486-5p
A_25_P00010019	hsa-miR-329
A_25_P00013546	hsa-miR-340*
A_25_P00010770	hsa-miR-195
A_25_P00013063	hsa-miR-933
A_25_P00012399	hsa-miR-339-5p
A_25_P00012901	hsa-miR-892a
A_25_P00012073	hsa-miR-139-3p
A_25_P00013427	hsa-miR-145*
A_25_P00013418	hsa-miR-143*
A_25_P00010982	hsa-miR-302a
A_25_P00012027	hsa-miR-33a
A_25_P00011887	ebv-miR-BART14*
A_25_P00010131	hsa-miR-148a
A_25_P00012821	hsa-miR-629
A_25_P00011471	hsa-miR-551a
A_25_P00011329	hsa-miR-651
A_25_P00012935	hsa-miR-220c
A_25_P00011016	hsa-miR-142-3p
A_25_P00012934	hsa-miR-220c
A_25_P00014889	hsa-miR-513a-3p
A_25_P00013011	hsa-miR-873
A_25_P00013214	hsa-miR-31*
A_25_P00010806	hsa-miR-622
A_25_P00013803	ebv-miR-BART8*
A_25_P00012910	hsa-miR-450b-5p
A_25_P00011680	ebv-miR-BART3*
A_25_P00010113	hsa-miR-487b
A_25_P00012824	hsa-miR-33b
A_25_P00013449	hsa-miR-149*
A_25_P00013374	hsa-miR-23b*
A_25_P00012472	hsa-miR-488
A_25_P00010963	hsa-miR-133b
A_25_P00010717	hsa-miR-524-5p
A_25_P00012787	hsa-miR-615-5p
A_25_P00012281	hsa-miR-34b
A_25_P00013705	hcmv-miR-US25-1*
