"##For information about the Annotation file content,  please see the bundled README file."		
#%create_date=2009-11-13 GMT-08:00 20:57:17		
#%chip_type=HT_HG-U133A		
#%genome-species=Homo sapiens		
#%genome-version=hg19		
#%genome-version-ucsc=hg19		
#%genome-version-ncbi=GRCh37		
#%genome-version-create_date=2009-02-00		
#%netaffx-annotation-date=2009-11-23		
#%netaffx-annotation-netaffx-build=30		
#%netaffx-annotation-tabular-format-version=1.0		
Probe Set ID	Gene Symbol	Entrez Gene
200733_s_at	PTP4A1	7803
200734_s_at	ARF3	377
200735_x_at	NACA	4666
200736_s_at	GPX1	2876
200737_at	PGK1	5230
200738_s_at	PGK1	5230
200739_s_at	SUMO3	6612
200740_s_at	SUMO3	6612
200741_s_at	RPS27	6232
200742_s_at	TPP1	1200
200743_s_at	TPP1	1200
200744_s_at	GNB1	2782
200745_s_at	GNB1	2782
200746_s_at	GNB1	2782
200747_s_at	NUMA1	4926
200748_s_at	FTH1	2495
200749_at	RAN	5901
200750_s_at	RAN	5901
200751_s_at	HNRNPC	3183
200752_s_at	CAPN1	823
200753_x_at	SFRS2	6427
200754_x_at	SFRS2	6427
200755_s_at	CALU	813
200756_x_at	CALU	813
200757_s_at	CALU	813
200758_s_at	NFE2L1	4779
200759_x_at	NFE2L1	4779
200760_s_at	ARL6IP5	10550
200761_s_at	ARL6IP5	10550
200762_at	DPYSL2	1808
200763_s_at	RPLP1	6176
200764_s_at	CTNNA1	1495
200765_x_at	CTNNA1	1495
200766_at	CTSD	1509
200767_s_at	FAM120A	23196
200768_s_at	MAT2A	4144
200769_s_at	MAT2A	4144
200770_s_at	LAMC1	3915
200771_at	LAMC1	3915
200772_x_at	PTMA	5757
200773_x_at	PTMA	5757
200774_at	FAM120A	23196
200775_s_at	HNRNPK	3190
200776_s_at	BZW1 /// BZW1L1	151579 /// 9689
200777_s_at	BZW1	9689
200778_s_at	2-Sep	4735
200779_at	ATF4	468
200780_x_at	GNAS	2778
200781_s_at	RPS15A	6210
