FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ
20091015_SB_SerumRun_NEG_NORM.Rda	277.086_3.5982	3.5982	277.086
20091015_SB_SerumRun_NEG_NORM.Rda	278.8308_0.2979	0.2979	278.8308
20091015_SB_SerumRun_NEG_NORM.Rda	279.1012_3.8321	3.8321	279.1012
20091015_SB_SerumRun_NEG_NORM.Rda	279.2309_4.5288	4.5288	279.2309
20091015_SB_SerumRun_NEG_NORM.Rda	279.233_4.6083	4.6083	279.233
20091015_SB_SerumRun_NEG_NORM.Rda	281.0995_1.7496	1.7496	281.0995
20091015_SB_SerumRun_NEG_NORM.Rda	281.2483_4.9696	4.9696	281.2483
20091015_SB_SerumRun_NEG_NORM.Rda	283.2628_5.4611	5.4611	283.2628
20091015_SB_SerumRun_NEG_NORM.Rda	286.1353_1.8067	1.8067	286.1353
20091015_SB_SerumRun_NEG_NORM.Rda	286.8623_0.2951	0.2951	286.8623
20091015_SB_SerumRun_NEG_NORM.Rda	289.0742_2.1314	2.1314	289.0742
20091015_SB_SerumRun_NEG_NORM.Rda	289.1055_3.7638	3.7638	289.1055
20091015_SB_SerumRun_NEG_NORM.Rda	293.1766_4.2296	4.2296	293.1766
20091015_SB_SerumRun_NEG_NORM.Rda	295.0963_3.2442	3.2442	295.0963
20091015_SB_SerumRun_NEG_NORM.Rda	295.0963_3.5983	3.5983	295.0963
20091015_SB_SerumRun_NEG_NORM.Rda	296.8905_0.2787	0.2787	296.8905
20091015_SB_SerumRun_NEG_NORM.Rda	297.1529_4.7943	4.7943	297.1529
20091015_SB_SerumRun_NEG_NORM.Rda	297.1529_4.935	4.935	297.1529
20091015_SB_SerumRun_NEG_NORM.Rda	303.2321_4.5984	4.5984	303.2321
20091015_SB_SerumRun_NEG_NORM.Rda	306.9194_0.2751	0.2751	306.9194
20091015_SB_SerumRun_NEG_NORM.Rda	309.1717_5.3299	5.3299	309.1717
20091015_SB_SerumRun_NEG_NORM.Rda	311.028_2.322	2.322	311.028
20091015_SB_SerumRun_NEG_NORM.Rda	311.1394_2.077	2.077	311.1394
20091015_SB_SerumRun_NEG_NORM.Rda	311.1676_5.4932	5.4932	311.1676
20091015_SB_SerumRun_NEG_NORM.Rda	311.1677_5.2997	5.2997	311.1677
20091015_SB_SerumRun_NEG_NORM.Rda	316.9475_0.2672	0.2672	316.9475
20091015_SB_SerumRun_NEG_NORM.Rda	321.0403_1.9694	1.9694	321.0403
20091015_SB_SerumRun_NEG_NORM.Rda	325.1839_5.8826	5.8826	325.1839
20091015_SB_SerumRun_NEG_NORM.Rda	326.7601_0.3149	0.3149	326.7601
20091015_SB_SerumRun_NEG_NORM.Rda	327.1269_5.6425	5.6425	327.1269
20091015_SB_SerumRun_NEG_NORM.Rda	327.2321_4.5959	4.5959	327.2321
20091015_SB_SerumRun_NEG_NORM.Rda	328.7579_0.3178	0.3178	328.7579
20091015_SB_SerumRun_NEG_NORM.Rda	331.0891_1.7481	1.7481	331.0891
20091015_SB_SerumRun_NEG_NORM.Rda	331.1902_2.7561	2.7561	331.1902
20091015_SB_SerumRun_NEG_NORM.Rda	335.0478_0.3481	0.3481	335.0478
20091015_SB_SerumRun_NEG_NORM.Rda	339.2286_2.7319	2.7319	339.2286
20091015_SB_SerumRun_NEG_NORM.Rda	339.2319_5.9256	5.9256	339.2319
20091015_SB_SerumRun_NEG_NORM.Rda	353.1416_5.8002	5.8002	353.1416
20091015_SB_SerumRun_NEG_NORM.Rda	353.1589_3.1362	3.1362	353.1589
20091015_SB_SerumRun_NEG_NORM.Rda	355.0171_2.3265	2.3265	355.0171
20091015_SB_SerumRun_NEG_NORM.Rda	357.0306_0.3463	0.3463	357.0306
20091015_SB_SerumRun_NEG_NORM.Rda	365.0049_2.0121	2.0121	365.0049
20091015_SB_SerumRun_NEG_NORM.Rda	365.0056_1.9493	1.9493	365.0056
20091015_SB_SerumRun_NEG_NORM.Rda	365.1655_4.0718	4.0718	365.1655
20091015_SB_SerumRun_NEG_NORM.Rda	366.0917_2.1768	2.1768	366.0917
20091015_SB_SerumRun_NEG_NORM.Rda	366.1019_1.8067	1.8067	366.1019
20091015_SB_SerumRun_NEG_NORM.Rda	367.1573_3.1642	3.1642	367.1573
20091015_SB_SerumRun_NEG_NORM.Rda	368.9731_1.3925	1.3925	368.9731
20091015_SB_SerumRun_NEG_NORM.Rda	369.1547_2.1752	2.1752	369.1547
20091015_SB_SerumRun_NEG_NORM.Rda	369.1555_2.4195	2.4195	369.1555
20091015_SB_SerumRun_NEG_NORM.Rda	369.173_2.9004	2.9004	369.173
20091015_SB_SerumRun_NEG_NORM.Rda	369.1731_3.379	3.379	369.1731
20091015_SB_SerumRun_NEG_NORM.Rda	369.1733_3.6573	3.6573	369.1733
20091015_SB_SerumRun_NEG_NORM.Rda	369.1736_3.2778	3.2778	369.1736
20091015_SB_SerumRun_NEG_NORM.Rda	374.9071_0.2765	0.2765	374.9071
20091015_SB_SerumRun_NEG_NORM.Rda	376.2247_3.9425	3.9425	376.2247
20091015_SB_SerumRun_NEG_NORM.Rda	377.085_0.3156	0.3156	377.085
20091015_SB_SerumRun_NEG_NORM.Rda	378.2406_4.2628	4.2628	378.2406
20091015_SB_SerumRun_NEG_NORM.Rda	383.1518_2.6188	2.6188	383.1518
20091015_SB_SerumRun_NEG_NORM.Rda	383.1627_3.6169	3.6169	383.1627
20091015_SB_SerumRun_NEG_NORM.Rda	384.9361_0.2687	0.2687	384.9361
20091015_SB_SerumRun_NEG_NORM.Rda	385.1475_2.1203	2.1203	385.1475
20091015_SB_SerumRun_NEG_NORM.Rda	385.1679_2.3044	2.3044	385.1679
20091015_SB_SerumRun_NEG_NORM.Rda	391.1363_2.1752	2.1752	391.1363
20091015_SB_SerumRun_NEG_NORM.Rda	391.1369_2.4168	2.4168	391.1369
20091015_SB_SerumRun_NEG_NORM.Rda	391.2842_4.231	4.231	391.2842
20091015_SB_SerumRun_NEG_NORM.Rda	393.1561_2.4735	2.4735	393.1561
20091015_SB_SerumRun_NEG_NORM.Rda	395.2156_1.9321	1.9321	395.2156
20091015_SB_SerumRun_NEG_NORM.Rda	395.243_3.903	3.903	395.243
20091015_SB_SerumRun_NEG_NORM.Rda	397.0033_1.9338	1.9338	397.0033
20091015_SB_SerumRun_NEG_NORM.Rda	397.2062_3.3766	3.3766	397.2062
20091015_SB_SerumRun_NEG_NORM.Rda	398.1105_1.8067	1.8067	398.1105
20091015_SB_SerumRun_NEG_NORM.Rda	403.1565_5.9206	5.9206	403.1565
20091015_SB_SerumRun_NEG_NORM.Rda	407.0334_1.9674	1.9674	407.0334
20091015_SB_SerumRun_NEG_NORM.Rda	410.0818_2.183	2.183	410.0818
20091015_SB_SerumRun_NEG_NORM.Rda	411.1163_3.1354	3.1354	411.1163
20091015_SB_SerumRun_NEG_NORM.Rda	412.288_5.8023	5.8023	412.288
20091015_SB_SerumRun_NEG_NORM.Rda	413.2006_2.9303	2.9303	413.2006
20091015_SB_SerumRun_NEG_NORM.Rda	416.9863_2.3205	2.3205	416.9863
20091015_SB_SerumRun_NEG_NORM.Rda	421.1477_3.1336	3.1336	421.1477
20091015_SB_SerumRun_NEG_NORM.Rda	421.2288_5.9249	5.9249	421.2288
20091015_SB_SerumRun_NEG_NORM.Rda	423.1845_3.469	3.469	423.1845
20091015_SB_SerumRun_NEG_NORM.Rda	425.1992_3.4413	3.4413	425.1992
20091015_SB_SerumRun_NEG_NORM.Rda	426.9564_1.9405	1.9405	426.9564
20091015_SB_SerumRun_NEG_NORM.Rda	426.96_2.0131	2.0131	426.96
20091015_SB_SerumRun_NEG_NORM.Rda	429.3008_4.4922	4.4922	429.3008
20091015_SB_SerumRun_NEG_NORM.Rda	435.1447_3.1659	3.1659	435.1447
20091015_SB_SerumRun_NEG_NORM.Rda	437.1619_3.3836	3.3836	437.1619
20091015_SB_SerumRun_NEG_NORM.Rda	442.6801_0.3205	0.3205	442.6801
20091015_SB_SerumRun_NEG_NORM.Rda	442.8952_0.2767	0.2767	442.8952
20091015_SB_SerumRun_NEG_NORM.Rda	444.6762_0.3162	0.3162	444.6762
20091015_SB_SerumRun_NEG_NORM.Rda	447.1344_3.8383	3.8383	447.1344
20091015_SB_SerumRun_NEG_NORM.Rda	448.3046_3.8139	3.8139	448.3046
20091015_SB_SerumRun_NEG_NORM.Rda	448.3067_3.7247	3.7247	448.3067
20091015_SB_SerumRun_NEG_NORM.Rda	449.1504_3.6289	3.6289	449.1504
20091015_SB_SerumRun_NEG_NORM.Rda	449.1581_3.8309	3.8309	449.1581
20091015_SB_SerumRun_NEG_NORM.Rda	449.2548_4.3911	4.3911	449.2548
20091015_SB_SerumRun_NEG_NORM.Rda	452.2781_4.3107	4.3107	452.2781
20091015_SB_SerumRun_NEG_NORM.Rda	452.2788_4.8152	4.8152	452.2788
20091015_SB_SerumRun_NEG_NORM.Rda	452.9233_0.2688	0.2688	452.9233
20091015_SB_SerumRun_NEG_NORM.Rda	455.2463_4.2485	4.2485	455.2463
20091015_SB_SerumRun_NEG_NORM.Rda	457.236_5.4449	5.4449	457.236
20091015_SB_SerumRun_NEG_NORM.Rda	459.2026_4.0116	4.0116	459.2026
20091015_SB_SerumRun_NEG_NORM.Rda	459.2041_3.8306	3.8306	459.2041
20091015_SB_SerumRun_NEG_NORM.Rda	459.2729_4.2298	4.2298	459.2729
20091015_SB_SerumRun_NEG_NORM.Rda	464.3003_3.3202	3.3202	464.3003
20091015_SB_SerumRun_NEG_NORM.Rda	464.3156_5.0006	5.0006	464.3156
20091015_SB_SerumRun_NEG_NORM.Rda	466.2934_4.5562	4.5562	466.2934
20091015_SB_SerumRun_NEG_NORM.Rda	466.3301_5.0143	5.0143	466.3301
20091015_SB_SerumRun_NEG_NORM.Rda	475.3283_4.1854	4.1854	475.3283
20091015_SB_SerumRun_NEG_NORM.Rda	476.2793_4.5997	4.5997	476.2793
20091015_SB_SerumRun_NEG_NORM.Rda	478.2941_4.4502	4.4502	478.2941
20091015_SB_SerumRun_NEG_NORM.Rda	478.2942_4.9641	4.9641	478.2942
20091015_SB_SerumRun_NEG_NORM.Rda	480.3101_4.8313	4.8313	480.3101
20091015_SB_SerumRun_NEG_NORM.Rda	480.3101_5.4396	5.4396	480.3101
20091015_SB_SerumRun_NEG_NORM.Rda	480.311_4.7192	4.7192	480.311
20091015_SB_SerumRun_NEG_NORM.Rda	491.1736_3.4687	3.4687	491.1736
20091015_SB_SerumRun_NEG_NORM.Rda	491.3239_3.652	3.652	491.3239
20091015_SB_SerumRun_NEG_NORM.Rda	492.3471_5.1473	5.1473	492.3471
20091015_SB_SerumRun_NEG_NORM.Rda	494.3252_5.1318	5.1318	494.3252
20091015_SB_SerumRun_NEG_NORM.Rda	496.3047_3.5608	3.5608	496.3047
20091015_SB_SerumRun_NEG_NORM.Rda	496.3065_4.4234	4.4234	496.3065
20091015_SB_SerumRun_NEG_NORM.Rda	498.2635_4.3551	4.3551	498.2635
20091015_SB_SerumRun_NEG_NORM.Rda	498.2893_3.5452	3.5452	498.2893
20091015_SB_SerumRun_NEG_NORM.Rda	498.9281_4.7911	4.7911	498.9281
20091015_SB_SerumRun_NEG_NORM.Rda	500.279_4.5996	4.5996	500.279
20091015_SB_SerumRun_NEG_NORM.Rda	500.6398_0.32	0.32	500.6398
20091015_SB_SerumRun_NEG_NORM.Rda	502.637_0.3177	0.3177	502.637
20091015_SB_SerumRun_NEG_NORM.Rda	504.3105_4.6194	4.6194	504.3105
20091015_SB_SerumRun_NEG_NORM.Rda	504.3111_4.5235	4.5235	504.3111
20091015_SB_SerumRun_NEG_NORM.Rda	505.3139_4.6057	4.6057	505.3139
20091015_SB_SerumRun_NEG_NORM.Rda	506.3255_4.8787	4.8787	506.3255
20091015_SB_SerumRun_NEG_NORM.Rda	506.3268_4.979	4.979	506.3268
20091015_SB_SerumRun_NEG_NORM.Rda	507.226_3.8377	3.8377	507.226
20091015_SB_SerumRun_NEG_NORM.Rda	508.2841_5.1256	5.1256	508.2841
20091015_SB_SerumRun_NEG_NORM.Rda	508.3413_5.4571	5.4571	508.3413
20091015_SB_SerumRun_NEG_NORM.Rda	510.2538_3.4588	3.4588	510.2538
20091015_SB_SerumRun_NEG_NORM.Rda	510.8821_0.2768	0.2768	510.8821
20091015_SB_SerumRun_NEG_NORM.Rda	512.2679_3.7287	3.7287	512.2679
20091015_SB_SerumRun_NEG_NORM.Rda	512.3003_4.3112	4.3112	512.3003
20091015_SB_SerumRun_NEG_NORM.Rda	514.2893_3.1573	3.1573	514.2893
20091015_SB_SerumRun_NEG_NORM.Rda	517.242_4.3911	4.3911	517.242
20091015_SB_SerumRun_NEG_NORM.Rda	520.9115_0.2679	0.2679	520.9115
20091015_SB_SerumRun_NEG_NORM.Rda	522.0279_2.3219	2.3219	522.0279
20091015_SB_SerumRun_NEG_NORM.Rda	523.157_3.157	3.157	523.157
20091015_SB_SerumRun_NEG_NORM.Rda	524.2781_4.9534	4.9534	524.2781
20091015_SB_SerumRun_NEG_NORM.Rda	524.2793_4.5954	4.5954	524.2793
20091015_SB_SerumRun_NEG_NORM.Rda	526.2957_4.3605	4.3605	526.2957
20091015_SB_SerumRun_NEG_NORM.Rda	526.3156_4.5518	4.5518	526.3156
20091015_SB_SerumRun_NEG_NORM.Rda	526.3512_2.8388	2.8388	526.3512
20091015_SB_SerumRun_NEG_NORM.Rda	527.2151_2.8858	2.8858	527.2151
20091015_SB_SerumRun_NEG_NORM.Rda	528.2683_3.3717	3.3717	528.2683
20091015_SB_SerumRun_NEG_NORM.Rda	528.3108_4.6173	4.6173	528.3108
20091015_SB_SerumRun_NEG_NORM.Rda	528.3123_4.5314	4.5314	528.3123
20091015_SB_SerumRun_NEG_NORM.Rda	530.3194_4.8259	4.8259	530.3194
20091015_SB_SerumRun_NEG_NORM.Rda	534.2524_3.7237	3.7237	534.2524
20091015_SB_SerumRun_NEG_NORM.Rda	534.3588_5.5887	5.5887	534.3588
20091015_SB_SerumRun_NEG_NORM.Rda	538.007_2.3215	2.3215	538.007
20091015_SB_SerumRun_NEG_NORM.Rda	538.3161_4.4499	4.4499	538.3161
20091015_SB_SerumRun_NEG_NORM.Rda	539.2511_2.6565	2.6565	539.2511
20091015_SB_SerumRun_NEG_NORM.Rda	540.3253_4.7892	4.7892	540.3253
20091015_SB_SerumRun_NEG_NORM.Rda	540.3317_4.8323	4.8323	540.3317
20091015_SB_SerumRun_NEG_NORM.Rda	544.0234_2.3286	2.3286	544.0234
20091015_SB_SerumRun_NEG_NORM.Rda	544.2669_4.6058	4.6058	544.2669
20091015_SB_SerumRun_NEG_NORM.Rda	545.143_3.1627	3.1627	545.143
