SUBJECT_ID	BIOSPECIMEN_ID	ARRAY DESIGN 	RDA_FILE	RDA_DESCRIPTION
P_137	GSM553054		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_138	GSM553068		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_139	GSM553088		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_140	GSM553122		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_141	GSM553141		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_142	GSM552964		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_143	GSM552970		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_144	GSM552974		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_145	GSM553041		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_146	GSM553069		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_147	GSM553082		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_148	GSM553097		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_149	GSM553099		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_150	GSM553043		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_151	GSM553132		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_152	GSM553136		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_153	GSM553168		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_154	GSM552966		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_155	GSM553026		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_156	GSM553058		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_157	GSM553059		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_158	GSM553106		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_159	GSM553011		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_160	GSM553065		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_161	GSM553073		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_162	GSM552994		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_163	GSM553169		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_164	GSM553170		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_165	GSM552962		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_166	GSM552967		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_167	GSM552968		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_168	GSM553003		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_169	GSM553067		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_170	GSM553129		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_171	GSM552980		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
