FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3055_210.8422	0.3055	210.8422	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.4115_211.0596	3.4115	211.0596	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.9554_213.0752	2.9554	213.0752	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.8981_213.1122	4.8981	213.1122	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3055_215.0312	0.3055	215.0312	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.7255_215.0906	3.7255	215.0906	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.2243_215.0909	3.2243	215.0909	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.637_216.1225	3.637	216.1225	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.9335_216.1233	3.9335	216.1233	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3969_216.9088	0.3969	216.9088	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.2265_217.1064	4.2265	217.1064	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.5137_217.1066	3.5137	217.1066	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.1325_217.1069	3.1325	217.1069	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.607_217.1425	3.607	217.1425	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.0019_217.1427	4.0019	217.1427	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.1593_218.1198	4.1593	218.1198	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2972_218.8736	0.2972	218.8736	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.3039_219.0259	3.3039	219.0259	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6034_219.0626	3.6034	219.0626	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.1505_220.0583	2.1505	220.0583	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2997_220.8739	0.2997	220.8739	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.2921_222.1119	5.2921	222.1119	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.279_223.1073	2.279	223.1073	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	6.1066_223.1321	6.1066	223.1321	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3261_224.9784	0.3261	224.9784	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.2711_225.0753	4.2711	225.0753	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.6704_225.123	2.6704	225.123	
